Fornitore;Articolo;OrAcq - Data Prevista Evasione;OrAcq - Data Effettiva Evasione;OrAcq - Numero Documento;Causale Documento;Pagamento Documento;Riga Evasa;OrAcq - Importo Generale 1;OrAcq - Importo Generale da evadere 1;OrAcq - Importo Generale Evaso 1
ADIMPEX S.r.l;TEC-NBM01025;13 feb 2022;02 feb 2022;1640;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;513,36;0,00;513,36
;TEC-PK12N40;10 feb 2022;02 feb 2022;101;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;42,49;0,00;42,49
;;11 feb 2022;02 feb 2022;2065;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;42,49;0,00;42,49
;;;;2178;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;42,49;0,00;42,49
;TEC-IU056120-R;12 nov 2021;12 nov 2021;1958;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;63,32;0,00;63,32
;TEC-FP052040;10 dic 2021;07 dic 2021;1783;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;62,35;0,00;62,35
;TEC-CE4700UF50VVER;22 lug 2022;Non definito;312;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Chiusa senza completa evasione;61,97;0,00;0,00
;TEC-280370-1;08 apr 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;243,40;243,40;0,00
;;10 giu 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;243,40;243,40;0,00
;;08 lug 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;243,40;243,40;0,00
;;14 ott 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;243,40;243,40;0,00
;TEC-280371-1;04 feb 2022;02 feb 2022;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;216,84;0,00;216,84
;;04 mar 2022;04 mar 2022;1999;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;180,70;0,00;180,70
;;10 apr 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;216,84;216,84;0,00
;;13 mag 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;216,84;216,84;0,00
;;09 giu 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;216,84;216,84;0,00
;TEC-J2001510;10 dic 2021;07 dic 2021;2065;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;6,21;0,00;6,21
;;22 apr 2022;Non definito;2247;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;328,47;328,47;0,00
;TEC-J2001506;06 feb 2022;Non definito;1691;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Chiusa senza completa evasione;256,00;0,00;0,00
;TEC-J2001412;14 gen 2022;18 gen 2022;2216;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;50,98;0,00;50,98
;TEC-J2001403;14 gen 2022;18 gen 2022;2216;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;12,74;0,00;12,74
;TEC-J2001405;22 apr 2022;Non definito;2229;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Chiusa senza completa evasione;21,24;0,00;0,00
;TEC-J2001406;14 gen 2022;18 gen 2022;2216;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;25,49;0,00;25,49
;TEC-J2001408;22 apr 2022;Non definito;2229;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Chiusa senza completa evasione;33,98;0,00;0,00
;TEC-J2001104;22 apr 2022;Non definito;2258;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;9,56;9,56;0,00
;TEC-J2001105;09 set 2022;Non definito;514;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;11,95;11,95;0,00
;TEC-LH000416-R;21 gen 2022;18 gen 2022;74;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;20,66;0,00;20,66
;;09 apr 2022;Non definito;74;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;20,66;20,66;0,00
;TEC-J2001402;14 gen 2022;18 gen 2022;2216;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;17,00;0,00;17,00
;TEC-J2001404;22 apr 2022;Non definito;2216;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Chiusa senza completa evasione;84,95;0,00;0,00
;TEC-J2001403-R;10 gen 2022;18 gen 2022;1863;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;12,74;0,00;12,74
